id,trial,block,rt,resp,correct,f_cor,f_inc,cor_option,inc_option,pair_type
1,1,0,1.2440824150808112,0,0,43,39,1,0,0
1,2,0,1.1018207586012068,3,1,60,50,3,2,3
1,3,0,1.0299232879742704,1,0,44,36,3,1,2
1,4,0,1.3680067775831048,2,0,55,55,3,2,3
1,5,0,1.0393291640184543,3,1,52,49,3,2,3
1,6,0,1.2414981543915928,0,0,60,35,2,0,1
1,7,0,1.0175488060376665,3,1,56,51,3,2,3
1,8,0,1.1387933335563505,1,1,36,40,1,0,0
1,9,0,1.1202802511425034,2,1,48,32,2,0,1
1,10,0,1.138936012326667,1,0,49,50,3,1,2
1,11,0,1.069218659651597,3,1,62,37,3,1,2
1,12,0,1.2465987497516835,3,1,50,42,3,1,2
1,13,0,1.4034675719831284,2,0,49,56,3,2,3
1,14,0,1.2634143644072535,2,1,48,38,2,0,1
1,15,0,1.4325259125807857,2,0,57,53,3,2,3
1,16,0,1.1712896181061296,2,1,48,28,2,0,1
1,17,0,1.216336855701229,3,1,53,41,3,1,2
1,18,0,1.27985894599351,3,1,59,39,3,1,2
1,19,0,1.2527417876081015,2,1,53,36,2,0,1
1,20,0,1.5069100215796425,0,0,48,31,1,0,0
1,21,0,1.2636369159808964,1,1,40,34,1,0,0
1,22,0,1.3068064600029174,2,0,54,47,3,2,3
1,23,0,1.181139914625419,3,1,55,38,3,1,2
1,24,0,1.663861105971591,2,1,46,38,2,0,1
1,25,0,1.6161203799210853,3,1,51,52,3,2,3
1,26,0,1.5274250441516417,1,1,43,41,1,0,0
1,27,0,1.5656906027943478,3,1,61,53,3,2,3
1,28,0,1.3598112817262518,1,1,38,34,1,0,0
1,29,0,1.3258899161610316,3,1,56,40,3,1,2
1,30,0,1.247650067003633,2,1,42,37,2,0,1
1,31,0,1.2967264438375423,2,1,52,26,2,0,1
1,32,0,1.4086893418962063,1,1,45,35,1,0,0
1,33,0,1.2309170558473852,2,1,50,42,2,0,1
1,34,0,1.4394352514864297,3,1,50,35,3,1,2
1,35,0,1.3044979994247117,1,1,44,34,1,0,0
1,36,0,1.8457731243715896,3,1,51,40,3,2,3
1,37,0,1.898259796877028,3,1,60,40,3,1,2
1,38,0,1.5284118487552405,2,0,48,56,3,2,3
1,39,0,1.2224061648148563,3,1,64,43,3,1,2
1,40,0,1.0051831988585036,3,1,51,46,3,2,3
1,41,0,1.2244992418918628,3,1,58,37,3,1,2
1,42,0,1.2428088875903995,2,1,57,41,2,0,1
1,43,0,1.7508995930584206,3,1,54,39,3,1,2
1,44,0,1.4776192306408116,1,1,40,42,1,0,0
1,45,0,1.5318992865377368,2,1,47,33,2,0,1
1,46,0,1.3847292072996424,3,1,52,47,3,1,2
1,47,0,1.2119049390748842,3,1,58,34,3,1,2
1,48,0,1.2807781659148532,3,1,46,35,3,1,2
1,49,0,1.2199007529206938,1,1,46,37,1,0,0
1,50,0,1.28387818646479,1,1,45,33,1,0,0
1,51,0,1.226722026939569,2,1,58,39,2,0,1
1,52,0,1.4863427744812725,1,1,38,36,1,0,0
1,53,0,1.0694927530794305,2,1,51,40,2,0,1
1,54,0,1.3583626484733031,1,1,30,29,1,0,0
