id,block,trial,reversal,stim_set,p_a,p_b,choice,reward
1,1,1,0,0,0.2,0.8,1,1
1,1,2,0,0,0.2,0.8,1,1
1,1,3,0,1,0.3,0.7,0,0
1,1,4,0,1,0.3,0.7,1,1
1,1,5,0,0,0.2,0.8,1,1
1,1,6,0,0,0.2,0.8,1,1
1,1,7,0,0,0.2,0.8,1,1
1,1,8,0,1,0.3,0.7,1,0
1,1,9,0,1,0.3,0.7,0,1
1,1,10,0,0,0.2,0.8,1,1
1,1,11,0,0,0.2,0.8,1,1
1,1,12,0,0,0.2,0.8,1,1
1,1,13,0,0,0.2,0.8,1,1
1,1,14,0,1,0.3,0.7,0,0
1,1,15,0,1,0.3,0.7,1,0
1,1,16,0,1,0.3,0.7,0,0
1,1,17,0,1,0.3,0.7,1,1
1,1,18,0,1,0.3,0.7,1,1
1,1,19,0,0,0.2,0.8,1,1
1,1,20,0,0,0.2,0.8,1,1
1,1,21,0,1,0.3,0.7,1,1
1,1,22,0,0,0.2,0.8,1,1
1,1,23,0,0,0.2,0.8,1,0
1,1,24,0,0,0.2,0.8,0,0
1,1,25,0,0,0.2,0.8,1,1
1,1,26,0,1,0.3,0.7,1,0
1,1,27,0,1,0.3,0.7,0,0
1,1,28,0,1,0.3,0.7,0,0
1,1,29,0,0,0.2,0.8,1,1
1,1,30,0,1,0.3,0.7,1,1
1,1,31,0,1,0.3,0.7,1,1
1,1,32,0,0,0.2,0.8,1,1
1,1,33,0,1,0.3,0.7,1,0
1,1,34,0,1,0.3,0.7,0,1
1,1,35,0,0,0.2,0.8,1,0
1,1,36,0,1,0.3,0.7,0,0
1,1,37,0,0,0.2,0.8,1,1
1,1,38,0,0,0.2,0.8,1,1
1,1,39,0,0,0.2,0.8,1,1
1,1,40,0,0,0.2,0.8,1,1
1,1,41,0,1,0.3,0.7,0,0
1,1,42,0,1,0.3,0.7,0,0
1,1,43,0,1,0.3,0.7,1,1
1,1,44,0,1,0.3,0.7,1,1
1,1,45,0,0,0.2,0.8,1,1
1,1,46,0,1,0.3,0.7,1,1
1,1,47,0,1,0.3,0.7,1,1
1,1,48,0,1,0.3,0.7,1,0
1,1,49,0,0,0.2,0.8,1,0
1,1,50,0,0,0.2,0.8,0,0
1,1,51,0,0,0.2,0.8,1,1
1,1,52,0,1,0.3,0.7,1,1
1,1,53,0,0,0.2,0.8,1,1
1,1,54,0,0,0.2,0.8,1,1
1,1,55,0,1,0.3,0.7,1,1
1,1,56,0,1,0.3,0.7,1,0
1,1,57,0,0,0.2,0.8,1,1
1,1,58,0,1,0.3,0.7,1,1
1,1,59,0,0,0.2,0.8,1,1
1,1,60,0,0,0.2,0.8,1,0
1,1,61,0,0,0.2,0.8,0,0
1,1,62,0,0,0.2,0.8,1,1
1,1,63,0,1,0.3,0.7,1,0
1,1,64,0,0,0.2,0.8,1,1
1,1,65,1,0,0.8,0.2,0,0
1,1,66,1,1,0.7,0.3,0,0
1,1,67,1,1,0.7,0.3,1,1
1,1,68,1,1,0.7,0.3,1,0
1,1,69,1,0,0.8,0.2,0,0
1,1,70,1,1,0.7,0.3,0,0
1,1,71,1,0,0.8,0.2,0,0
1,1,72,1,0,0.8,0.2,1,1
1,1,73,1,0,0.8,0.2,1,1
1,1,74,1,1,0.7,0.3,0,0
1,1,75,1,1,0.7,0.3,1,1
1,1,76,1,1,0.7,0.3,1,1
1,1,77,1,1,0.7,0.3,1,1
1,1,78,1,1,0.7,0.3,1,1
1,1,79,1,1,0.7,0.3,1,1
1,1,80,1,1,0.7,0.3,1,1
1,1,81,1,1,0.7,0.3,1,0
1,1,82,1,1,0.7,0.3,1,1
1,1,83,1,1,0.7,0.3,1,1
1,1,84,1,1,0.7,0.3,1,1
1,1,85,1,1,0.7,0.3,1,1
1,1,86,1,1,0.7,0.3,1,0
1,1,87,1,1,0.7,0.3,1,1
1,1,88,1,1,0.7,0.3,1,1
1,1,89,1,0,0.8,0.2,0,0
1,1,90,1,1,0.7,0.3,1,1
1,1,91,1,1,0.7,0.3,1,1
1,1,92,1,1,0.7,0.3,1,1
1,1,93,1,0,0.8,0.2,1,1
1,1,94,1,0,0.8,0.2,1,1
1,1,95,1,0,0.8,0.2,1,1
1,1,96,1,1,0.7,0.3,1,0
1,1,97,1,0,0.8,0.2,1,1
1,1,98,1,1,0.7,0.3,1,0
1,1,99,1,1,0.7,0.3,1,0
1,1,100,1,1,0.7,0.3,0,1
1,1,101,1,0,0.8,0.2,0,0
1,1,102,1,0,0.8,0.2,1,1
1,1,103,1,0,0.8,0.2,1,0
1,1,104,1,1,0.7,0.3,1,1
1,1,105,1,0,0.8,0.2,1,1
1,1,106,1,0,0.8,0.2,1,1
1,1,107,1,1,0.7,0.3,1,1
1,1,108,1,1,0.7,0.3,1,0
1,1,109,1,0,0.8,0.2,1,1
1,1,110,1,1,0.7,0.3,1,0
1,1,111,1,1,0.7,0.3,1,0
1,1,112,1,0,0.8,0.2,0,0
1,1,113,1,0,0.8,0.2,1,1
1,1,114,1,0,0.8,0.2,1,1
1,1,115,1,0,0.8,0.2,1,1
1,1,116,1,1,0.7,0.3,1,1
1,1,117,1,0,0.8,0.2,1,1
1,1,118,1,1,0.7,0.3,1,1
1,1,119,1,0,0.8,0.2,1,0
1,1,120,1,0,0.8,0.2,1,0
1,1,121,1,0,0.8,0.2,0,0
1,1,122,1,0,0.8,0.2,1,1
1,1,123,1,0,0.8,0.2,1,1
1,1,124,1,1,0.7,0.3,1,1
1,1,125,1,0,0.8,0.2,1,1
1,1,126,1,0,0.8,0.2,1,1
1,1,127,1,0,0.8,0.2,1,1
1,1,128,1,0,0.8,0.2,1,1
1,2,1,0,0,0.2,0.8,1,1
1,2,2,0,1,0.3,0.7,1,1
1,2,3,0,1,0.3,0.7,1,0
1,2,4,0,1,0.3,0.7,0,0
1,2,5,0,0,0.2,0.8,0,0
1,2,6,0,0,0.2,0.8,0,0
1,2,7,0,0,0.2,0.8,1,1
1,2,8,0,0,0.2,0.8,1,1
1,2,9,0,0,0.2,0.8,1,1
1,2,10,0,0,0.2,0.8,1,1
1,2,11,0,0,0.2,0.8,1,1
1,2,12,0,0,0.2,0.8,1,1
1,2,13,0,1,0.3,0.7,0,1
1,2,14,0,0,0.2,0.8,1,0
1,2,15,0,1,0.3,0.7,0,0
1,2,16,0,0,0.2,0.8,1,1
1,2,17,0,1,0.3,0.7,1,1
1,2,18,0,1,0.3,0.7,1,1
1,2,19,0,0,0.2,0.8,1,1
1,2,20,0,0,0.2,0.8,1,1
1,2,21,0,1,0.3,0.7,1,1
1,2,22,0,1,0.3,0.7,1,1
1,2,23,0,1,0.3,0.7,1,1
1,2,24,0,1,0.3,0.7,1,1
1,2,25,0,0,0.2,0.8,1,1
1,2,26,0,1,0.3,0.7,1,1
1,2,27,0,0,0.2,0.8,1,1
1,2,28,0,1,0.3,0.7,1,1
1,2,29,0,1,0.3,0.7,1,1
1,2,30,0,0,0.2,0.8,1,1
1,2,31,0,0,0.2,0.8,1,1
1,2,32,0,0,0.2,0.8,1,0
1,2,33,0,1,0.3,0.7,1,1
1,2,34,0,1,0.3,0.7,1,0
1,2,35,0,0,0.2,0.8,1,1
1,2,36,0,0,0.2,0.8,1,1
1,2,37,0,0,0.2,0.8,1,1
1,2,38,0,1,0.3,0.7,1,1
1,2,39,0,0,0.2,0.8,1,1
1,2,40,0,1,0.3,0.7,1,0
1,2,41,0,1,0.3,0.7,0,0
1,2,42,0,0,0.2,0.8,1,1
1,2,43,0,0,0.2,0.8,1,0
1,2,44,0,1,0.3,0.7,1,1
1,2,45,0,1,0.3,0.7,1,1
1,2,46,0,1,0.3,0.7,1,0
1,2,47,0,1,0.3,0.7,1,1
1,2,48,0,0,0.2,0.8,1,1
1,2,49,0,0,0.2,0.8,1,1
1,2,50,0,0,0.2,0.8,1,0
1,2,51,0,1,0.3,0.7,1,1
1,2,52,0,0,0.2,0.8,1,0
1,2,53,0,1,0.3,0.7,1,1
1,2,54,0,1,0.3,0.7,0,0
1,2,55,0,0,0.2,0.8,1,1
1,2,56,0,0,0.2,0.8,1,1
1,2,57,0,1,0.3,0.7,1,0
1,2,58,0,1,0.3,0.7,1,1
1,2,59,0,0,0.2,0.8,1,1
1,2,60,0,0,0.2,0.8,1,0
1,2,61,0,0,0.2,0.8,1,0
1,2,62,0,0,0.2,0.8,1,1
1,2,63,0,1,0.3,0.7,1,1
1,2,64,0,0,0.2,0.8,1,1
1,2,65,1,1,0.7,0.3,0,0
1,2,66,1,0,0.8,0.2,0,0
1,2,67,1,1,0.7,0.3,0,0
1,2,68,1,1,0.7,0.3,1,1
1,2,69,1,0,0.8,0.2,1,1
1,2,70,1,1,0.7,0.3,1,1
1,2,71,1,1,0.7,0.3,1,0
1,2,72,1,1,0.7,0.3,1,0
1,2,73,1,0,0.8,0.2,1,1
1,2,74,1,0,0.8,0.2,1,1
1,2,75,1,1,0.7,0.3,0,0
1,2,76,1,0,0.8,0.2,1,1
1,2,77,1,0,0.8,0.2,1,1
1,2,78,1,0,0.8,0.2,1,1
1,2,79,1,0,0.8,0.2,1,1
1,2,80,1,0,0.8,0.2,1,1
1,2,81,1,0,0.8,0.2,1,0
1,2,82,1,1,0.7,0.3,0,0
1,2,83,1,1,0.7,0.3,1,1
1,2,84,1,0,0.8,0.2,1,1
1,2,85,1,1,0.7,0.3,1,1
1,2,86,1,1,0.7,0.3,1,1
1,2,87,1,1,0.7,0.3,1,1
1,2,88,1,0,0.8,0.2,1,1
1,2,89,1,1,0.7,0.3,1,1
1,2,90,1,0,0.8,0.2,1,1
1,2,91,1,1,0.7,0.3,1,1
1,2,92,1,1,0.7,0.3,1,1
1,2,93,1,0,0.8,0.2,1,1
1,2,94,1,0,0.8,0.2,1,0
1,2,95,1,1,0.7,0.3,1,1
1,2,96,1,1,0.7,0.3,1,1
1,2,97,1,0,0.8,0.2,1,1
1,2,98,1,0,0.8,0.2,1,1
1,2,99,1,1,0.7,0.3,1,0
1,2,100,1,0,0.8,0.2,1,0
1,2,101,1,0,0.8,0.2,1,1
1,2,102,1,1,0.7,0.3,1,1
1,2,103,1,1,0.7,0.3,1,1
1,2,104,1,1,0.7,0.3,1,1
1,2,105,1,0,0.8,0.2,1,1
1,2,106,1,1,0.7,0.3,0,0
1,2,107,1,1,0.7,0.3,1,0
1,2,108,1,1,0.7,0.3,1,0
1,2,109,1,1,0.7,0.3,0,0
1,2,110,1,0,0.8,0.2,0,0
1,2,111,1,1,0.7,0.3,1,1
1,2,112,1,0,0.8,0.2,1,1
1,2,113,1,0,0.8,0.2,1,1
1,2,114,1,1,0.7,0.3,1,1
1,2,115,1,1,0.7,0.3,1,1
1,2,116,1,1,0.7,0.3,0,0
1,2,117,1,0,0.8,0.2,1,1
1,2,118,1,0,0.8,0.2,1,1
1,2,119,1,0,0.8,0.2,1,1
1,2,120,1,1,0.7,0.3,1,1
1,2,121,1,0,0.8,0.2,1,1
1,2,122,1,1,0.7,0.3,1,1
1,2,123,1,1,0.7,0.3,1,1
1,2,124,1,0,0.8,0.2,1,1
1,2,125,1,1,0.7,0.3,0,0
1,2,126,1,0,0.8,0.2,1,1
1,2,127,1,1,0.7,0.3,1,0
1,2,128,1,1,0.7,0.3,1,1
1,3,1,0,0,0.2,0.8,0,0
1,3,2,0,1,0.3,0.7,0,0
1,3,3,0,0,0.2,0.8,1,1
1,3,4,0,0,0.2,0.8,1,0
1,3,5,0,0,0.2,0.8,0,0
1,3,6,0,0,0.2,0.8,1,0
1,3,7,0,1,0.3,0.7,0,0
1,3,8,0,1,0.3,0.7,1,0
1,3,9,0,0,0.2,0.8,1,0
1,3,10,0,1,0.3,0.7,1,1
1,3,11,0,1,0.3,0.7,1,0
1,3,12,0,1,0.3,0.7,1,0
1,3,13,0,1,0.3,0.7,1,0
1,3,14,0,1,0.3,0.7,1,1
1,3,15,0,1,0.3,0.7,1,0
1,3,16,0,1,0.3,0.7,0,0
1,3,17,0,1,0.3,0.7,1,1
1,3,18,0,0,0.2,0.8,0,0
1,3,19,0,1,0.3,0.7,0,0
1,3,20,0,0,0.2,0.8,1,1
1,3,21,0,1,0.3,0.7,0,0
1,3,22,0,1,0.3,0.7,0,0
1,3,23,0,0,0.2,0.8,1,1
1,3,24,0,1,0.3,0.7,1,1
1,3,25,0,0,0.2,0.8,1,1
1,3,26,0,0,0.2,0.8,1,1
1,3,27,0,0,0.2,0.8,1,1
1,3,28,0,1,0.3,0.7,0,0
1,3,29,0,0,0.2,0.8,1,1
1,3,30,0,0,0.2,0.8,1,1
1,3,31,0,1,0.3,0.7,1,1
1,3,32,0,1,0.3,0.7,1,1
1,3,33,0,1,0.3,0.7,1,1
1,3,34,0,0,0.2,0.8,1,0
1,3,35,0,1,0.3,0.7,0,1
1,3,36,0,1,0.3,0.7,0,0
1,3,37,0,0,0.2,0.8,1,1
1,3,38,0,0,0.2,0.8,1,1
1,3,39,0,0,0.2,0.8,1,1
1,3,40,0,0,0.2,0.8,1,1
1,3,41,0,1,0.3,0.7,1,1
1,3,42,0,0,0.2,0.8,1,1
1,3,43,0,0,0.2,0.8,1,0
1,3,44,0,0,0.2,0.8,1,1
1,3,45,0,1,0.3,0.7,1,1
1,3,46,0,0,0.2,0.8,1,1
1,3,47,0,0,0.2,0.8,1,1
1,3,48,0,0,0.2,0.8,0,0
1,3,49,0,0,0.2,0.8,1,1
1,3,50,0,1,0.3,0.7,1,0
1,3,51,0,0,0.2,0.8,1,1
1,3,52,0,0,0.2,0.8,1,0
1,3,53,0,0,0.2,0.8,1,1
1,3,54,0,1,0.3,0.7,0,0
