,participant,block_num,trial_num,condition,rt,low_opt_feed,mid_opt_feed,high_opt_feed,selected_option,selected_fvalue,difficulty,magnitude,choice,rt_quantile
0,1,4,1,ACE,1.671,33,34,48,E,48,easy,low,3,4
1,1,4,2,ABC,1.29,27,46,37,B,46,hard,low,2,2
2,1,4,3,DEF,1.571,36,43,50,E,43,hard,high,2,3
3,1,4,4,ABC,1.297,31,37,35,C,35,hard,low,3,2
4,1,4,5,BDF,1.917,28,45,62,B,28,easy,high,1,5
5,1,4,6,DEF,0.641,42,51,58,F,58,hard,high,3,1
6,1,4,7,ABC,1.815,32,36,40,C,40,hard,low,3,4
7,1,4,8,DEF,1.132,49,44,41,F,41,hard,high,3,2
8,1,4,9,ABC,1.013,26,34,30,B,34,hard,low,2,1
9,1,4,10,DEF,2.302,51,46,50,D,51,hard,high,1,5
10,1,4,11,ABC,1.576,33,37,29,B,37,hard,low,2,3
11,1,4,12,BDF,1.137,38,45,49,D,45,easy,high,2,3
12,1,4,13,ABC,2.003,33,36,38,B,36,hard,low,2,4
13,1,4,14,ACE,1.219,22,47,52,E,52,easy,low,3,2
14,1,4,15,ABC,2.243,24,42,45,B,42,hard,low,2,5
15,1,4,16,ACE,1.421,26,36,56,E,56,easy,low,3,3
16,1,4,17,ABC,1.652,42,32,38,B,32,hard,low,2,3
17,1,4,18,ACE,1.2,30,32,49,C,32,easy,low,2,2
18,1,4,19,BDF,1.302,32,44,53,D,44,easy,high,2,3
19,1,4,20,ABC,1.331,30,27,35,B,27,hard,low,2,2
20,1,4,21,BDF,1.164,32,43,45,F,45,easy,high,3,3
21,1,4,22,ABC,2.374,28,35,35,C,35,hard,low,3,5
22,1,4,23,ACE,1.904,28,32,42,E,42,easy,low,3,5
23,1,4,24,ABC,2.279,26,34,33,B,34,hard,low,2,5
24,1,4,25,DEF,1.613,38,36,56,D,38,hard,high,1,4
25,1,4,26,ACE,2.81,30,43,55,E,55,easy,low,3,6
26,1,4,27,DEF,0.747,39,48,52,F,52,hard,high,3,2
27,1,4,28,ACE,1.95,28,34,39,E,39,easy,low,3,5
28,1,4,29,DEF,0.726,39,37,60,F,60,hard,high,3,1
29,1,4,30,BDF,1.667,34,51,44,F,44,easy,high,3,4
30,1,4,31,ACE,1.621,36,37,47,E,47,easy,low,3,4
31,1,4,32,DEF,2.659,43,46,51,D,43,hard,high,1,6
32,1,4,33,ACE,2.935,25,32,53,E,53,easy,low,3,6
33,1,4,34,ABC,3.105,31,42,40,B,42,hard,low,2,6
34,1,4,35,ACE,2.003,27,38,51,E,51,easy,low,3,5
35,1,4,36,BDF,1.815,35,43,47,D,43,easy,high,2,5
36,1,4,37,ACE,1.722,30,33,52,E,52,easy,low,3,5
37,1,4,38,ABC,2.631,25,33,35,B,33,hard,low,2,5
38,1,4,39,ACE,1.727,31,33,50,E,50,easy,low,3,5
39,1,4,40,DEF,2.325,43,39,47,F,47,hard,high,3,5
40,1,4,41,ABC,1.228,24,26,39,B,26,hard,low,2,2
41,1,4,42,DEF,2.524,37,50,47,F,47,hard,high,3,6
42,1,4,43,ACE,2.08,21,39,58,C,39,easy,low,2,5
43,1,4,44,DEF,2.084,35,34,55,F,55,hard,high,3,5
44,1,4,45,ACE,3.441,24,41,44,E,44,easy,low,3,6
45,1,4,46,BDF,3.202,28,52,49,D,52,easy,high,2,6
46,1,4,47,ABC,3.851,27,26,43,B,26,hard,low,2,6
47,1,4,48,BDF,1.289,38,42,52,F,52,easy,high,3,3
48,1,4,49,ACE,1.108,32,30,38,E,38,easy,low,3,2
49,1,4,50,BDF,1.495,41,34,57,F,57,easy,high,3,4
50,1,4,51,ABC,2.661,30,39,39,B,39,hard,low,2,5
51,1,4,52,BDF,2.179,39,45,52,F,52,easy,high,3,5
52,1,4,53,ACE,3.041,32,42,52,E,52,easy,low,3,6
53,1,4,54,ABC,1.931,27,33,41,C,41,hard,low,3,4
54,1,4,55,DEF,1.604,43,44,53,F,53,hard,high,3,4
55,1,4,56,ACE,2.935,36,34,42,E,42,easy,low,3,6
56,1,4,57,ABC,2.967,23,31,46,B,31,hard,low,2,5
57,1,4,58,BDF,1.064,32,47,53,F,53,easy,high,3,3
58,1,4,59,DEF,1.251,44,45,56,F,56,hard,high,3,3
59,1,4,60,ABC,2.249,32,43,42,A,32,hard,low,1,5
60,1,4,61,ACE,1.405,28,38,49,E,49,easy,low,3,3
61,1,4,62,BDF,1.21,35,46,45,F,45,easy,high,3,3
62,1,4,63,ACE,1.349,28,39,42,E,42,easy,low,3,3
63,1,4,64,DEF,2.004,33,37,53,D,33,hard,high,1,5
